product_id,verified_purchase,star_rating,helpful_votes,review_body
B00009V3WS,3,3.0,72,3
B00009V3WT,14,4.571428571428571,64,14
B00009V3WZ,4,2.75,19,4
B00009V3X6,20,3.75,219,20
B00009V3X7,2,2.5,3,2
B00009V3X8,6,2.3333333333333335,43,6
B00012ORSS,22,4.363636363636363,38,22
B00012ORT2,23,4.173913043478261,233,23
B0002YTM0I,1,3.0,1,1
B000A7B4D0,30,3.9,176,30
B000BQRHNQ,1,5.0,0,1
B000PUKLRM,1,1.0,0,1
B000UW1WW8,27,2.074074074074074,457,27
B000W3JHHM,49,2.5306122448979593,153,49
B000W3PH1W,13,4.230769230769231,34,13
B000ZIPHM8,26,1.6923076923076923,40,26
B0011YFKMC,12,2.5833333333333335,35,12
B0011YHN7M,10,1.1,38,10
B0018YNRIO,4,4.5,78,4
B0018YR762,2,4.5,3,2
B0019C87BC,6,2.0,12,6
B0019C87BW,4,2.0,3,4
B0019CADPK,10,2.7,17,10
B001AF6J0Y,7,2.7142857142857144,71,7
B001B8J9Y8,1,1.0,2,1
B001B8OAOM,1,4.0,33,1
B001C3789A,12,2.1666666666666665,47,12
B001DEI9LY,12,4.25,7,12
B001QFYDQK,7,3.0,25,7
B001QFYDSI,65,3.5846153846153848,422,65
B001YQGDTQ,1,1.0,3,1
B0024SLF3M,2,4.5,1,2
B002E1GEKS,1,5.0,0,1
B002I9QFNC,12,1.8333333333333333,63,12
B002KPM7L8,15,1.6666666666666667,89,15
B002X7669C,15,2.4,153,15
B002Z8041A,21,1.0476190476190477,15,21
B003K5FPRU,25,1.56,168,25
B003KI1W3I,19,4.7368421052631575,10,19
B003XSST4A,4,3.75,423,4
B00413662I,14,4.357142857142857,139,14
B0043GDSR4,13,3.0,103,13
B0049OXU1O,24,1.9583333333333333,116,24
B004NXUJ60,74,4.5,346,74
B004YKDYVE,13,3.923076923076923,54,13
B004YKEV20,1,1.0,11,1
B004ZU09QQ,30,4.0,10,30
B004ZUWBVW,21,3.7142857142857144,6,21
B0052G14E8,117,3.8461538461538463,633,117
B0052G51AQ,63,3.984126984126984,236,63
B0055UBB4O,83,3.9518072289156625,285,83
B0058CLNBU,80,1.75,223,80
B0058CLNC4,14,2.7142857142857144,32,14
B005DNSDEY,1,5.0,2,1
B005GM942C,1,4.0,3,1
B005GSZB3M,79,3.9240506329113924,217,79
B005GSZB7I,76,4.118421052631579,337,76
B005GSZB9Q,78,4.205128205128205,335,78
B005JA0AII,11,2.272727272727273,99,11
B005JAVD3Y,1,4.0,2,1
B005OW6RFG,15,1.8666666666666667,90,15
B0073YCGK8,23,3.217391304347826,264,23
B0073YCGPI,19,4.157894736842105,141,19
B007PKGV88,1,5.0,0,1
B007V7G5TU,56,3.7142857142857144,106,56
B007XZ8FNO,15,1.4,126,15
B008F07MPS,14,3.4285714285714284,121,14
B008MD2RH6,17,3.823529411764706,26,17
B008MD2RUS,3,2.6666666666666665,1,3
B00B2NPKRM,1,4.0,0,1
B00DUZ8LBW,32,4.625,24,32
B00EOVF0JM,1,5.0,18,1
B00EU7AMX4,16,3.625,165,16
B00G4CV606,11,4.636363636363637,9,11
B00KJ07SEM,1,4.0,0,1
B00NG0FP7E,13,3.8461538461538463,139,13
B00NN136NQ,28,3.5357142857142856,363,28
B00NQFSSWS,31,3.5806451612903225,982,31
B00NXRHIO8,13,4.384615384615385,43,13
B00XYVE4B8,1,4.0,2,1
